id,unix_timestamp,bpm,rr
1,1478074977,67.0,895.522
1,1478074980,68.0,882.353
1,1478074994,69.0,869.565
1,1478074996,70.0,857.143
1,1478075001,69.0,869.565
1,1478075003,70.0,857.143
1,1478075004,71.0,845.07
1,1478075006,72.0,833.333
1,1478075012,73.0,821.918
1,1478075016,72.0,833.333
1,1478075017,71.0,845.07
1,1478075023,72.0,833.333
1,1478075024,71.0,845.07
1,1478075027,70.0,857.143
1,1478075028,69.0,869.565
1,1478075030,70.0,857.143
1,1478075033,71.0,845.07
1,1478075034,72.0,833.333
1,1478075036,73.0,821.918
1,1478075043,75.0,800.0
1,1478075044,76.0,789.474
1,1478075045,78.0,769.231
1,1478075047,77.0,779.221
1,1478075048,75.0,800.0
1,1478075050,72.0,833.333
1,1478075051,69.0,869.565
1,1478075055,70.0,857.143
1,1478075057,71.0,845.07
1,1478075059,72.0,833.333
1,1478075063,70.0,857.143
1,1478075064,68.0,882.353
1,1478075065,67.0,895.522
1,1478075067,66.0,909.091
1,1478075071,67.0,895.522
1,1478075073,68.0,882.353
1,1478075076,67.0,895.522
1,1478075081,68.0,882.353
1,1478075087,69.0,869.565
1,1478075093,70.0,857.143
1,1478075094,71.0,845.07
1,1478075095,72.0,833.333
1,1478075096,74.0,810.811
1,1478075097,75.0,800.0
1,1478075098,77.0,779.221
1,1478075099,78.0,769.231
1,1478075101,80.0,750.0
1,1478075103,79.0,759.494
1,1478075106,78.0,769.231
1,1478075107,77.0,779.221
1,1478075109,76.0,789.474
1,1478075110,73.0,821.918
1,1478075112,71.0,845.07
1,1478075113,70.0,857.143
1,1478075115,70.0,857.143
1,1478075117,71.0,845.07
1,1478075118,73.0,821.918
1,1478075119,74.0,810.811
1,1478075121,73.0,821.918
1,1478075122,71.0,845.07
1,1478075123,69.0,869.565
1,1478075124,68.0,882.353
1,1478075125,67.0,895.522
1,1478075130,68.0,882.353
1,1478075132,69.0,869.565
1,1478075136,68.0,882.353
1,1478075137,67.0,895.522
1,1478075140,66.0,909.091
1,1478075143,67.0,895.522
1,1478075146,68.0,882.353
1,1478075151,67.0,895.522
1,1478075154,68.0,882.353
1,1478075157,69.0,869.565
1,1478075160,70.0,857.143
1,1478075161,72.0,833.333
1,1478075166,71.0,845.07
1,1478075167,70.0,857.143
1,1478075169,69.0,869.565
1,1478075177,68.0,882.353
1,1478075178,67.0,895.522
1,1478075188,68.0,882.353
1,1478075194,69.0,869.565
1,1478075195,70.0,857.143
1,1478075197,71.0,845.07
1,1478075199,70.0,857.143
1,1478075211,70.0,857.143
1,1478075212,67.0,895.522
1,1478075213,69.0,869.565
1,1478075214,71.0,845.07
1,1478075215,72.0,833.333
1,1478075220,73.0,821.918
1,1478075221,74.0,810.811
1,1478075222,75.0,800.0
1,1478075224,74.0,810.811
1,1478075225,72.0,833.333
1,1478075226,70.0,857.143
1,1478075228,69.0,869.565
1,1478075230,70.0,857.143
1,1478075237,68.0,882.353
1,1478075238,67.0,895.522
1,1478075239,65.0,923.077
1,1478075240,64.0,937.5
1,1478075241,62.0,967.742
1,1478075242,61.0,983.607
1,1478075244,60.0,1000.0
1,1478075245,58.0,1034.48
1,1478075246,56.0,1071.43
1,1478075247,54.0,1111.11
1,1478075248,53.0,1132.08
1,1478075250,52.0,1153.85
1,1478075253,53.0,1132.08
1,1478075254,54.0,1111.11
1,1478075255,55.0,1090.91
1,1478075256,56.0,1071.43
1,1478075257,61.0,983.607
1,1478075258,55.1667,1087.61
1,1478075259,55.1667,1087.61
1,1478075260,55.619,1078.77
1,1478075265,56.5905,1060.25
1,1478075266,56.7086,1058.04
1,1478075267,55.8503,1074.3
1,1478075272,56.3831,1064.15
1,1478075273,66.0,909.091
1,1478075274,65.0,923.077
1,1478075278,64.0,937.5
1,1478075279,65.0,923.077
1,1478075280,67.0,895.522
1,1478075281,68.0,882.353
1,1478075282,70.0,857.143
1,1478075283,71.0,845.07
1,1478075284,72.0,833.333
1,1478075285,73.0,821.918
1,1478075289,75.0,800.0
1,1478075290,76.0,789.474
1,1478075292,77.0,779.221
1,1478075294,76.0,789.474
1,1478075295,75.0,800.0
1,1478075296,74.0,810.811
1,1478075298,73.0,821.918
1,1478075299,72.0,833.333
1,1478075301,71.0,845.07
1,1478075302,70.0,857.143
1,1478075303,69.0,869.565
1,1478075304,68.0,882.353
1,1478075306,67.0,895.522
1,1478075311,68.0,882.353
1,1478075314,67.0,895.522
1,1478075315,66.0,909.091
1,1478075316,65.0,923.077
1,1478075317,64.0,937.5
1,1478075318,63.0,952.381
1,1478075320,62.0,967.742
1,1478075322,63.0,952.381
1,1478075323,64.0,937.5
1,1478075325,65.0,923.077
1,1478075326,66.0,909.091
1,1478075329,67.0,895.522
1,1478075332,68.0,882.353
1,1478075333,69.0,869.565
1,1478075334,70.0,857.143
1,1478075335,71.0,845.07
1,1478075340,70.0,857.143
1,1478075342,69.0,869.565
1,1478075345,68.0,882.353
1,1478075346,67.0,895.522
1,1478075348,66.0,909.091
1,1478075359,67.0,895.522
1,1478075368,66.0,909.091
1,1478075372,67.0,895.522
1,1478075375,68.0,882.353
1,1478075380,67.0,895.522
1,1478075386,68.0,882.353
1,1478075391,67.0,895.522
